track,target,regime_type,regime,n,our_best_rmse,Putirka_rmse,Agreda_rmse,Jorgenson_rmse,Wang_rmse,our_best_rmse_lo,Putirka_rmse_lo,Agreda_rmse_lo,Jorgenson_rmse_lo,Wang_rmse_lo,our_best_rmse_hi,Putirka_rmse_hi,Agreda_rmse_hi,Jorgenson_rmse_hi,Wang_rmse_hi,winner
cpx_liq,P_kbar,T,T<800,7,2.939,6.822,4.616,6.261,13.964,,0.613,3.167,4.527,5.947,,11.349,5.62,8.204,20.302,our_best
cpx_liq,P_kbar,T,800<=T<1000,52,3.28,6.362,3.178,3.126,9.468,2.626,5.483,1.83,2.205,6.078,3.958,7.232,4.261,3.973,12.958,Jorgenson
cpx_liq,P_kbar,T,1000<=T<1200,267,4.29,4.851,3.771,3.98,4.909,3.791,4.439,3.251,3.503,4.511,4.841,5.292,4.329,4.484,5.332,Agreda
cpx_liq,P_kbar,T,1200<=T<1400,242,3.249,3.505,4.817,4.199,7.283,2.899,3.038,3.659,3.42,5.662,3.623,4.04,5.871,4.958,8.812,our_best
cpx_liq,P_kbar,T,T>=1400,86,13.641,8.132,23.29,22.974,22.667,5.148,4.825,13.583,13.37,14.864,22.127,11.13,33.58,33.41,30.135,Putirka
cpx_liq,P_kbar,T,ALL,654,6.537,5.481,9.314,9.143,10.457,4.399,4.754,5.852,5.677,8.016,8.898,6.318,12.861,12.631,12.741,Putirka
cpx_only,P_kbar,T,T<800,14,25.702,13.967,6.956,6.255,,18.823,9.788,4.854,4.863,,31.673,17.07,8.691,7.41,,Jorgenson
cpx_only,P_kbar,T,800<=T<1000,93,9.082,10.247,13.038,13.109,,5.682,6.09,8.707,8.795,,12.801,14.26,16.891,16.94,,our_best
cpx_only,P_kbar,T,1000<=T<1200,229,7.987,6.402,11.808,11.514,,4.661,4.505,6.636,6.311,,11.007,8.512,16.534,16.245,,Putirka
cpx_only,P_kbar,T,1200<=T<1400,301,8.395,8.191,10.786,10.301,,6.415,4.83,7.375,6.8,,10.642,12.088,14.114,13.672,,Putirka
cpx_only,P_kbar,T,T>=1400,147,13.074,19.117,34.68,34.009,,10.1,12.799,26.25,25.714,,15.459,24.821,42.475,41.707,,our_best
cpx_only,P_kbar,T,ALL,784,13.385,11.827,18.219,17.816,,11.538,9.528,14.718,14.383,,15.313,13.932,21.268,20.812,,Putirka
