track,target,regime_type,regime,n,our_best_rmse,Putirka_rmse,Agreda_rmse,Jorgenson_rmse,Wang_rmse,our_best_rmse_lo,Putirka_rmse_lo,Agreda_rmse_lo,Jorgenson_rmse_lo,Wang_rmse_lo,our_best_rmse_hi,Putirka_rmse_hi,Agreda_rmse_hi,Jorgenson_rmse_hi,Wang_rmse_hi,winner
cpx_liq,T_C,T,T<800,7,129.354,114.108,63.075,126.373,473.646,31.584,28.178,17.239,96.045,361.097,195.148,189.378,100.889,158.636,603.377,Agreda
cpx_liq,T_C,T,800<=T<1000,52,59.212,108.063,31.831,35.879,329.834,45.32,94.678,25.8,27.973,287.449,71.222,119.882,37.343,44.579,373.959,Agreda
cpx_liq,T_C,T,1000<=T<1200,267,39.281,51.809,27.536,30.439,85.316,33.45,43.549,22.68,25.99,75.085,44.743,62.12,32.757,35.019,94.199,Agreda
cpx_liq,T_C,T,1200<=T<1400,242,51.61,48.528,46.86,55.769,115.594,42.936,39.761,37.806,47.741,91.776,63.288,58.041,57.677,66.275,145.465,Agreda
cpx_liq,T_C,T,T>=1400,86,109.551,65.911,199.85,202.38,166.651,65.341,59.188,115.123,118.462,148.382,160.913,72.551,284.118,288.8,188.858,Putirka
cpx_liq,T_C,T,ALL,654,71.571,63.428,80.606,84.784,150.491,59.349,57.576,49.842,56.932,135.755,85.839,69.45,109.047,112.517,165.087,Putirka
cpx_only,T_C,T,T<800,14,353.749,520.393,356.894,380.633,,305.653,430.732,299.131,330.96,,392.692,585.711,399.068,417.604,,our_best
cpx_only,T_C,T,800<=T<1000,93,157.66,338.242,110.66,116.642,,143.637,304.596,97.214,101.329,,173.352,374.854,122.567,132.201,,Agreda
cpx_only,T_C,T,1000<=T<1200,229,77.965,164.138,62.033,45.467,,67.32,131.663,53.161,38.808,,89.057,199.045,72.379,53.001,,Jorgenson
cpx_only,T_C,T,1200<=T<1400,301,68.109,103.497,49.063,41.483,,58.945,77.214,42.3,34.96,,78.194,131.174,57.01,49.629,,Jorgenson
cpx_only,T_C,T,T>=1400,147,144.932,92.832,190.375,187.825,,122.556,74.573,152.224,152.779,,166.055,110.917,229.959,222.105,,Putirka
cpx_only,T_C,T,ALL,784,127.35,177.915,112.119,109.91,,114.366,161.007,98.682,96.415,,140.506,192.934,127.495,123.501,,Jorgenson
