track,target,regime_type,regime,n,our_best_rmse,Putirka_rmse,our_best_rmse_lo,Putirka_rmse_lo,our_best_rmse_hi,Putirka_rmse_hi,winner
opx_liq,P_kbar,P,shallow_crustal,47,2.663,3.886,2.245,3.236,3.134,4.472,our_best
opx_liq,P_kbar,P,deep_crustal_MASH,61,2.079,2.314,1.624,1.722,2.539,2.853,our_best
opx_liq,P_kbar,P,lithospheric_mantle,58,4.538,4.66,3.487,3.25,5.561,5.961,our_best
opx_liq,P_kbar,P,deeper_mantle,8,4.556,8.519,3.194,4.438,5.746,11.137,our_best
opx_liq,P_kbar,P,P<5,47,2.663,3.886,2.245,3.236,3.134,4.472,our_best
opx_liq,P_kbar,P,5<=P<10,11,2.612,2.395,2.035,2.007,3.156,2.698,Putirka
opx_liq,P_kbar,P,10<=P<20,81,2.762,3.441,2.254,2.508,3.266,4.318,our_best
opx_liq,P_kbar,P,20<=P<40,32,5.247,3.723,3.671,2.926,6.851,4.531,Putirka
opx_liq,P_kbar,P,P>=40,3,0.766,12.792,0.432,11.286,1.014,13.789,our_best
opx_liq,P_kbar,P,P<20 (Agreda range),139,2.973,3.526,2.451,2.999,3.454,4.08,our_best
opx_liq,P_kbar,P,ALL,174,3.816,4.75,3.096,3.814,4.491,5.749,our_best
opx_only,P_kbar,P,shallow_crustal,48,7.192,2.197,5.665,1.693,8.757,2.717,Putirka
opx_only,P_kbar,P,deep_crustal_MASH,76,5.205,4.678,4.476,3.923,5.804,5.364,Putirka
opx_only,P_kbar,P,lithospheric_mantle,37,4.031,5.071,2.631,3.831,5.266,6.154,our_best
opx_only,P_kbar,P,deeper_mantle,29,19.649,30.923,7.479,21.451,30.433,38.862,our_best
opx_only,P_kbar,P,P<5,48,7.192,2.197,5.665,1.693,8.757,2.717,Putirka
opx_only,P_kbar,P,5<=P<10,20,6.449,5.089,2.849,3.25,9.245,6.963,Putirka
opx_only,P_kbar,P,10<=P<20,84,3.962,4.882,3.522,4.125,4.366,5.602,our_best
opx_only,P_kbar,P,20<=P<40,23,7.483,9.708,6.076,5.706,8.898,13.119,our_best
opx_only,P_kbar,P,P>=40,15,25.866,44.034,6.356,35.618,41.751,53.35,our_best
opx_only,P_kbar,P,P<20 (Agreda range),152,6.043,4.114,5.273,3.576,6.825,4.655,Putirka
opx_only,P_kbar,P,ALL,190,10.328,13.337,7.007,9.323,14.101,17.339,our_best
