track,target,regime_type,regime,n,our_best_rmse,Putirka_rmse,our_best_rmse_lo,Putirka_rmse_lo,our_best_rmse_hi,Putirka_rmse_hi,winner
opx_liq,T_C,P,shallow_crustal,47,23.47,25.524,15.891,16.322,30.399,33.871,our_best
opx_liq,T_C,P,deep_crustal_MASH,61,78.464,87.478,29.846,34.612,113.072,120.826,our_best
opx_liq,T_C,P,lithospheric_mantle,58,93.698,79.652,77.308,54.887,111.17,107.41,Putirka
opx_liq,T_C,P,deeper_mantle,8,105.604,85.501,75.141,14.78,127.729,123.499,Putirka
opx_liq,T_C,P,P<5,47,23.47,25.524,15.891,16.322,30.399,33.871,our_best
opx_liq,T_C,P,5<=P<10,11,26.997,43.054,18.194,25.111,33.912,61.834,our_best
opx_liq,T_C,P,10<=P<20,81,88.397,97.542,59.902,66.444,114.053,124.691,our_best
opx_liq,T_C,P,20<=P<40,32,92.136,41.76,75.434,25.166,108.577,59.657,Putirka
opx_liq,T_C,P,P>=40,3,20.427,138.782,,61.863,,173.832,our_best
opx_liq,T_C,P,P<20 (Agreda range),139,70.945,75.042,50.289,53.389,88.988,96.251,our_best
opx_liq,T_C,P,ALL,174,77.062,71.671,62.56,53.752,91.653,88.736,Putirka
opx_only,T_C,P,shallow_crustal,48,108.264,,90.895,,122.974,,our_best
opx_only,T_C,P,deep_crustal_MASH,76,109.471,,86.565,,132.731,,our_best
opx_only,T_C,P,lithospheric_mantle,37,70.431,,57.661,,84.517,,our_best
opx_only,T_C,P,deeper_mantle,29,247.606,,167.185,,313.436,,our_best
opx_only,T_C,P,P<5,48,108.264,,90.895,,122.974,,our_best
opx_only,T_C,P,5<=P<10,20,136.727,,95.582,,174.787,,our_best
opx_only,T_C,P,10<=P<20,84,87.913,,74.078,,105.381,,our_best
opx_only,T_C,P,20<=P<40,23,108.006,,69.228,,152.087,,our_best
opx_only,T_C,P,P>=40,15,321.18,,205.149,,406.969,,our_best
opx_only,T_C,P,P<20 (Agreda range),152,112.019,,100.431,,124.717,,our_best
opx_only,T_C,P,ALL,190,147.982,,122.709,,172.971,,our_best
