track,target,regime_type,regime,n,our_best_rmse,Putirka_rmse,our_best_rmse_lo,Putirka_rmse_lo,our_best_rmse_hi,Putirka_rmse_hi,winner
opx_liq,P_kbar,T,800<=T<1000,4,0.184,4.737,0.069,2.898,0.282,6.04,our_best
opx_liq,P_kbar,T,1000<=T<1200,31,2.855,3.852,2.342,2.166,3.332,5.305,our_best
opx_liq,P_kbar,T,1200<=T<1400,109,3.443,3.817,2.652,3.312,4.297,4.322,our_best
opx_liq,P_kbar,T,T>=1400,30,5.431,4.917,3.337,3.001,7.687,6.733,Putirka
opx_liq,P_kbar,T,ALL,174,3.816,4.75,3.096,3.814,4.491,5.749,our_best
opx_only,P_kbar,T,800<=T<1000,22,5.867,2.792,4.676,1.705,7.101,3.791,Putirka
opx_only,P_kbar,T,1000<=T<1200,78,7.125,4.683,5.847,3.74,8.289,5.527,Putirka
opx_only,P_kbar,T,1200<=T<1400,63,4.93,13.631,3.738,7.764,6.126,18.3,our_best
opx_only,P_kbar,T,T>=1400,27,20.231,25.066,7.438,13.05,31.874,35.79,our_best
opx_only,P_kbar,T,ALL,190,10.328,13.337,7.007,9.323,14.101,17.339,our_best
