track,target,regime_type,regime,n,our_best_rmse,Putirka_rmse,our_best_rmse_lo,Putirka_rmse_lo,our_best_rmse_hi,Putirka_rmse_hi,winner
opx_liq,T_C,T,800<=T<1000,4,188.989,259.226,57.436,86.767,261.026,356.185,our_best
opx_liq,T_C,T,1000<=T<1200,31,89.572,98.285,48.444,57.505,124.069,132.273,our_best
opx_liq,T_C,T,1200<=T<1400,109,52.06,39.401,41.845,29.944,63.279,48.075,Putirka
opx_liq,T_C,T,T>=1400,30,88.2,61.075,73.846,34.034,103.348,82.708,Putirka
opx_liq,T_C,T,ALL,174,77.062,71.671,62.56,53.752,91.653,88.736,Putirka
opx_only,T_C,T,800<=T<1000,22,165.555,,128.595,,203.917,,our_best
opx_only,T_C,T,1000<=T<1200,78,107.344,,92.166,,121.213,,our_best
opx_only,T_C,T,1200<=T<1400,63,71.771,,62.618,,80.88,,our_best
opx_only,T_C,T,T>=1400,27,249.938,,168.453,,323.847,,our_best
opx_only,T_C,T,ALL,190,147.982,,122.709,,172.971,,our_best
