track,target,regime_type,regime,n,v10 best_rmse,v10 best_rmse_lo,v10 best_rmse_hi,winner
twopx,T_C,P,shallow_crustal,9,72.21633429519592,27.986959480529364,109.33792453999835,v10 best
twopx,T_C,P,deep_crustal_MASH,30,82.74612054508188,59.6583278454611,102.3424983874719,v10 best
twopx,T_C,P,lithospheric_mantle,8,54.92879416965671,30.763178239272108,73.825875284818,v10 best
twopx,T_C,P,deeper_mantle,1,6.560852290954699,,,v10 best
twopx,T_C,P,P<5,9,72.21633429519592,27.986959480529364,109.33792453999835,v10 best
twopx,T_C,P,5<=P<10,4,53.81007676326533,27.72425191346652,65.22190875271036,v10 best
twopx,T_C,P,10<=P<20,33,80.39675159908465,60.15983897390287,99.93938876835196,v10 best
twopx,T_C,P,20<=P<40,2,4.796856611604392,,,v10 best
twopx,T_C,P,P<20 (Agreda range),46,78.90545459078703,63.15220963866605,93.4232353812698,v10 best
twopx,T_C,P,ALL,48,79.53579684431216,65.18850553792056,93.30557967349657,v10 best
universal,T_C,P,shallow_crustal,318,62.5019011136752,54.79445302657773,70.30395852629671,v10 best
universal,T_C,P,deep_crustal_MASH,286,76.93229862835648,63.9247957607065,89.50044073681732,v10 best
universal,T_C,P,lithospheric_mantle,272,95.73736750079952,83.91359472726396,106.59035726310948,v10 best
universal,T_C,P,deeper_mantle,129,314.3484718205363,271.2508727134383,352.2420800247211,v10 best
universal,T_C,P,P<5,318,62.5019011136752,54.79445302657773,70.30395852629671,v10 best
universal,T_C,P,5<=P<10,106,63.37456567811344,48.90172288398915,78.32661309207555,v10 best
universal,T_C,P,10<=P<20,278,82.8352464846297,65.79389347247657,97.99019973423582,v10 best
universal,T_C,P,20<=P<40,213,100.4903028470112,89.57658193966637,112.335086232258,v10 best
universal,T_C,P,P>=40,90,363.9094591842892,310.53813323291416,414.0139637805791,v10 best
universal,T_C,P,P<20 (Agreda range),702,73.77838559636922,65.67285144411245,83.12470945634155,v10 best
universal,T_C,P,ALL,1005,143.70943987497077,127.78321050282295,159.81075198435448,v10 best
