track,target,regime_type,regime,n,v10 best_rmse,Putirka_rmse,v10 best_rmse_lo,Putirka_rmse_lo,v10 best_rmse_hi,Putirka_rmse_hi,winner
opx_liq,T_C,P,shallow_crustal,47,23.46950633881204,25.52386491004583,15.89141880707666,16.322299801938634,30.399238774216897,33.87126520329394,v10 best
opx_liq,T_C,P,deep_crustal_MASH,61,78.46430905099997,87.478244585471,29.84621120696413,34.61176623241711,113.07245600455008,120.82591085642228,v10 best
opx_liq,T_C,P,lithospheric_mantle,58,93.6982941619437,79.65209323346028,77.3082758020947,54.88681970960786,111.1697136465202,107.4102978196712,Putirka
opx_liq,T_C,P,deeper_mantle,8,105.60448966787888,85.50088439343597,75.14059808384383,14.779992112598048,127.72885380107336,123.49854522264356,Putirka
opx_liq,T_C,P,P<5,47,23.46950633881204,25.52386491004583,15.89141880707666,16.322299801938634,30.399238774216897,33.87126520329394,v10 best
opx_liq,T_C,P,5<=P<10,11,26.99693075620125,43.05383431564114,18.19419322072136,25.11115305736651,33.911607130537966,61.834276991897056,v10 best
opx_liq,T_C,P,10<=P<20,81,88.39705464243298,97.5424605819897,59.901658384693285,66.44421037971956,114.05284108015664,124.69060606455014,v10 best
opx_liq,T_C,P,20<=P<40,32,92.13619545183693,41.75979287048987,75.4342302923007,25.166107463436195,108.57740781905812,59.65656743776615,Putirka
opx_liq,T_C,P,P>=40,3,20.42691487038246,138.78169697824586,,61.86349747944814,,173.83154150171276,v10 best
opx_liq,T_C,P,P<20 (Agreda range),139,70.9452377004952,75.04185292051386,50.28898270545541,53.38873184651102,88.98762681146053,96.25147909594811,v10 best
opx_liq,T_C,P,ALL,174,77.06189003628756,71.67099988574215,62.5596545488733,53.75200941121946,91.65291211264,88.73601447822817,Putirka
opx_only,T_C,P,shallow_crustal,48,108.26393553740846,,90.89507136454576,,122.97443047124844,,v10 best
opx_only,T_C,P,deep_crustal_MASH,76,109.4706940925614,,86.56489055742749,,132.7306617153341,,v10 best
opx_only,T_C,P,lithospheric_mantle,37,70.43110350960156,,57.66093129864717,,84.5174455043863,,v10 best
opx_only,T_C,P,deeper_mantle,29,247.6055597185693,,167.1849036983914,,313.4356851386966,,v10 best
opx_only,T_C,P,P<5,48,108.26393553740846,,90.89507136454576,,122.97443047124844,,v10 best
opx_only,T_C,P,5<=P<10,20,136.72745260404955,,95.58181482349922,,174.78682408457817,,v10 best
opx_only,T_C,P,10<=P<20,84,87.91253119013115,,74.0778195311647,,105.38064643249356,,v10 best
opx_only,T_C,P,20<=P<40,23,108.0061871055684,,69.22833068809462,,152.08663904261883,,v10 best
opx_only,T_C,P,P>=40,15,321.17960283260385,,205.1489044512156,,406.9685695857516,,v10 best
opx_only,T_C,P,P<20 (Agreda range),152,112.0194959545199,,100.43117889852364,,124.71725269112768,,v10 best
opx_only,T_C,P,ALL,190,147.98216692463086,,122.7087117014196,,172.97094905112644,,v10 best
