track,target,regime_type,regime,n,v10 best_rmse,Putirka_rmse,v10 best_rmse_lo,Putirka_rmse_lo,v10 best_rmse_hi,Putirka_rmse_hi,winner
opx_liq,P_kbar,T,800<=T<1000,4,0.1839973678612729,4.736703272725361,0.0689272619221261,2.897563978756222,0.281832422949986,6.039605846138364,v10 best
opx_liq,P_kbar,T,1000<=T<1200,31,2.8546862381240925,3.851679023612876,2.341811929018652,2.166443235564376,3.332309302612139,5.3045365598602165,v10 best
opx_liq,P_kbar,T,1200<=T<1400,109,3.442908567150231,3.81687412947914,2.65159216697898,3.311670500011092,4.297348662242026,4.321726722501296,v10 best
opx_liq,P_kbar,T,T>=1400,30,5.430829731049641,4.916649271851672,3.3366744816730605,3.0008202232232075,7.686770772100552,6.733120096306375,Putirka
opx_liq,P_kbar,T,ALL,174,3.8156075924116495,4.750309233457235,3.095868179159089,3.813504194268678,4.491098147444123,5.748618806510647,v10 best
opx_only,P_kbar,T,800<=T<1000,22,5.866644280813866,2.7923735603024524,4.67596078506994,1.7046853101241977,7.10137082130495,3.791280070789375,Putirka
opx_only,P_kbar,T,1000<=T<1200,78,7.12517405846038,4.683413053012875,5.846523454868618,3.739991668400898,8.288894269643706,5.527076859844747,Putirka
opx_only,P_kbar,T,1200<=T<1400,63,4.929950412958855,13.630804268027994,3.737735800264373,7.763500171782208,6.125550680626728,18.300141051537786,v10 best
opx_only,P_kbar,T,T>=1400,27,20.231293699692245,25.0656633594341,7.438209948711272,13.049692716553707,31.874058734438307,35.79027690562149,v10 best
opx_only,P_kbar,T,ALL,190,10.327722797494394,13.337426168244214,7.006525071742839,9.322560316429968,14.10101876005092,17.338844542716142,v10 best
