track,target,regime_type,regime,n,v10 best_rmse,Putirka_rmse,v10 best_rmse_lo,Putirka_rmse_lo,v10 best_rmse_hi,Putirka_rmse_hi,winner
opx_liq,T_C,T,800<=T<1000,4,188.98857856298693,259.22627144854306,57.436492972306944,86.76655947417926,261.0256978336783,356.18546261076006,v10 best
opx_liq,T_C,T,1000<=T<1200,31,89.57173508137309,98.28473438544997,48.44383598783472,57.50535334768109,124.06937647609104,132.27309631464098,v10 best
opx_liq,T_C,T,1200<=T<1400,109,52.0604311427692,39.40123220680199,41.8453845023994,29.943916129253008,63.27850634064598,48.07486426964824,Putirka
opx_liq,T_C,T,T>=1400,30,88.20007750084355,61.07540587320734,73.84611495504188,34.03404843417522,103.347684987182,82.70849756263067,Putirka
opx_liq,T_C,T,ALL,174,77.06189003628756,71.67099988574215,62.5596545488733,53.75200941121946,91.65291211264,88.73601447822817,Putirka
opx_only,T_C,T,800<=T<1000,22,165.55514904789374,,128.59505479344787,,203.91679137383665,,v10 best
opx_only,T_C,T,1000<=T<1200,78,107.34433549310286,,92.16641007964895,,121.21312245199204,,v10 best
opx_only,T_C,T,1200<=T<1400,63,71.7705653930206,,62.61757810431573,,80.87979919123188,,v10 best
opx_only,T_C,T,T>=1400,27,249.93803724914855,,168.4532784371097,,323.8474664975637,,v10 best
opx_only,T_C,T,ALL,190,147.98216692463086,,122.7087117014196,,172.97094905112644,,v10 best
